Title,Authors,Subjects,Abstract,PDF
"The isotropy, anisotropies and non-Gaussianity of the scalar-induced gravitational-wave background: diagrammatic approach for primordial non-Gaussianity up to any order","Jun-Peng Li,Sai Wang,Zhi-Chao Zhao,Kazunori Kohri",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph),"The scalar-induced gravitational waves (SIGWs) produced nonlinearly by the enhanced cosmological curvature perturbations can serve as a potentially powerful probe of primordial non-Gaussianity (PNG) in the early Universe. In this work, we comprehensively investigate the imprints of local-type PNG on the SIGW background beyond the widely used quadratic and cubic approximations. We develop a diagrammatic approach capable of analyzing SIGWs for PNG up to any order. Utilizing this approach, we derive semi-analytic formulas for the energy-density fraction spectrum of the isotropic background, the angular power spectrum of the energy-density anisotropies, as well as the angular bispectrum and trispectrum of the energy-density non-Gaussianity. Specializing to PNG up to quartic approximation (parameterized by $f_\mathrm{NL}$, $g_\mathrm{NL}$, and $h_\mathrm{NL}$), we numerically compute all contributions to these SIGW spectra. We find that PNG can significantly alter the amplitude of the energy-density spectrum and generate substantial anisotropies through the initial inhomogeneities. Furthermore, we observe that the angular bispectrum and trispectrum always vanish when the primordial curvature perturbations are Gaussian; otherwise, they do not, indicating their potential utility as probes of PNG. Therefore, we anticipate that both the isotropic background and the anisotropies of the SIGW background will provide essential information about the early Universe.",https://arxiv.org/pdf/2505.16820
Spontaneous Symmetry Breaking in Graviweak Theory,"Stephon Alexander,Bruno Alexandre,João Magueijo,Max Pezzelle",High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc),"Graviweak theory seeks to unify gravity (specifically in its self-dual formulation) with the weak interaction, preying on their parallel chiral $SU(2)$ structures. In this paper we further this idea by folding it with the concept of spontaneous symmetry breaking. We do this first with a standard Higgs field and potential, starting with a unifying parity-invariant theory which splits into the usual gravity and weak sector under spontaneous symmetry breaking. By rewriting the theory in the two-spin framework we are then prompted to discuss generalizations, within the generic approach known as MacDowell-Mansouri theories where a larger internal gauge group is broken. One of the predictions of the ensuing construction is a non-minimal coupling in the low energy broken phase between curvature and the weak gauge fields, translating at the quantum level to a direct channel between the graviton and the weak bosons.",https://arxiv.org/pdf/2505.17935
"Astrophysics with Compact Objects: An Indian Perspective, Present Status and Future Vision","Manjari Bagchi,Prasanta Bera,Aru Beri,Dipankar Bhattacharya,Bhaswati Bhattacharyya,Sudip Bhattacharyya,Manoneeta Chakraborty,Debarati Chatterjee,Sourav Chatterjee,Indranil Chattopadhyay,Santabrata Das,Sushan Konar,Pratik Majumdar,Ranjeev Misra,Arunava Mukherjee,Banibrata Mukhopadhyay,Mayukh Pahari,Krishna Kumar Singh,Mayuresh Surnis,Firoza Sutaria,Shriharsh Tendulkar",High Energy Astrophysical Phenomena (astro-ph.HE); Instrumentation and Methods for Astrophysics (astro-ph.IM); Solar and Stellar Astrophysics (astro-ph.SR); General Relativity and Quantum Cosmology (gr-qc); Nuclear Theory (nucl-th),"Astrophysical compact objects, viz., white dwarfs, neutron stars, and black holes, are the remnants of stellar deaths at the end of their life cycles. They are ideal testbeds for various fundamental physical processes under extreme conditions that are unique in nature. Observational radio astronomy with uGMRT and OORT facilities has led to several important breakthroughs in studies of different kinds of pulsars and their emission mechanisms. On the other hand, accretion processes around compact objects are at the core of Indian astronomy research. In this context, AstroSat mission revolutionized spectro-temporal observations and measurements of accretion phenomena, quasi-periodic oscillations, and jet behaviour in binary systems hosting compact objects. Moreover, recently launched XPoSat mission is set to provide an impetus to these high-energy phenomena around compact objects by enabling us to conduct polarization measurements in the X-ray band. Further, during the past decade, numerous gravitational wave signals have been observed from coalescing black holes and neutron stars in binary systems. Recent simultaneous observation of the GW170817 event in both gravitational waves and electromagnetic channels has ushered in the era of multi-messenger astronomy. In the future, synergistic efforts among several world-class observational facilities, e.g., LIGO-India, SKA, TMT, etc., within the Indian astrophysics community will provide a significant boost to achieve several key science goals that have been delineated here. In general, this article plans to highlight scientific projects being pursued across Indian institutions in this field, the scientific challenges that this community would be focusing on, and the opportunities in the coming decade. Finally, we have also mentioned the required resources, both in the form of infrastructural and human resources.",https://arxiv.org/pdf/2505.18238
Dynamical Evolutions in Globular Clusters and Dwarf Galaxies: Conduction Fluid Simulations,"Yi-Ming Zhong,Stuart L. Shapiro",Astrophysics of Galaxies (astro-ph.GA); Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph),"We present a new two-fluid conduction scheme to simulate the evolution of an isolated, self-gravitating, equilibrium cluster of stars and collisionless dark matter on secular (gravothermal) timescales. We integrate the equations in Lagrangian coordinates via a second-order, semi-implicit algorithm, which is unconditionally stable when the mass of the lighter species is much less than that of the heavier species. The method can be straightforwardly generalized to handle a multi-species system with a population of stars or components beyond collisionless dark matter and stars. We apply the method to simulate the dynamical evolution of stellar-dark matter systems, exploring the consequences of mass segregation and gravothermal core collapse, and assessing those effects for observed globular clusters and dwarf galaxies in the Local Volume.",https://arxiv.org/pdf/2505.18251
Dynamical Dark Energy at Late Time $Λ$CDM,"J. W. Moffat,E. J. Thompson","Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th); Data Analysis, Statistics and Probability (physics.data-an)","We investigate the dynamical properties of dark energy through a detailed analysis of its equation of state parameter $w(z)$ as a function of redshift. We derive a general expression for $w(z)$ from the Friedmann-Lemaître-Robertson-Walker (FLRW) equations, establishing a direct relationship between the dark energy equation of state and the observable Hubble parameter $H(z)$ and its derivative. Using the relation $w(z) = -1 + \frac{2(1+z)}{3H(z)} \frac{dH}{dz}$, we develop an approximation method valid for $z \lesssim 1$ that accounts for the changing balance between matter and dark energy contributions to cosmic expansion. We compare our theoretical framework with recent observational data from the Dark Energy Spectroscopic Instrument (DESI) DR2, analysing how well the commonly used Chevallier-Polarski-Linder (CPL) parametrization $w(z) = -1 + w_a \frac{z}{1+z}$ captures the evolution of dark energy. Our results indicate that the dark energy equation of state exhibits a monotonic evolution with redshift, transitioning from deceleration to acceleration around $z \approx 0.7$. Notably, our predicted $w_{\mathrm{DE}}$ remains greater than $-1$ across all redshifts, avoiding phantom energy scenarios that would violate the null energy condition. This work demonstrates how precise measurements of the cosmic expansion history can constrain the nature of dark energy and provides a framework for testing dynamical dark energy models against current and future cosmological observations.",https://arxiv.org/pdf/2505.18900
Examining Quintessence Models with DESI Data,"Zahra Bayat,Mark P. Hertzberg",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph); High Energy Physics - Theory (hep-th),"We examine data from the Dark Energy Spectroscopic Instrument (DESI) collaboration which has implications for the nature of dark energy. We consider classes of models that manifestly obey the null energy condition, with a focus on quintessence models. We find that hilltop potentials and exponential potentials provide modest improvement compared to a cosmological constant, but the statistical evidence is only marginal at this stage. We correct some analyses in the existing literature which attempted to compare some quintessence models to the data, giving an overly positive result.",https://arxiv.org/pdf/2505.18937
On the Pipeline Dependence of DESI Dynamical Dark Energy,"Eoin Ó Colgáin,Saeed Pourojaghi,M. M. Sheikh-Jabbari",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph); High Energy Physics - Theory (hep-th),"We continue scientific scrutiny of the DESI dynamical dark energy (DE) claim by explicitly demonstrating that the result depends on the analysis pipeline. Concretely, we define a likelihood that converts the $w_0 w_a$CDM model back into the flat $\Lambda$CDM model, which we fit to DESI constraints on the flat $\Lambda$CDM model from DR1 Full-Shape (FS) modelling and BAO. We further incorporate CMB constraints. Throughout, we find that $w_0$ and $w_a$ are within $1 \sigma$ of the flat $\Lambda$CDM Model. Our work makes it explicit that, in contrast to DR1 and DR2 BAO, there is no dynamical DE signal in FS modelling, even when combined with BAO and CMB. Moreover, one confirms late-time accelerated expansion today $(q_0 < 0)$ at $ \gtrsim 3.4 \sigma$ in FS modelling+BAO. On the contrary, DR1 and DR2 BAO fail to confirm $q_0 < 0$ under similar assumptions. Our analyses highlight the fact that trustable scientific results should be independent of the analysis pipeline.",https://arxiv.org/pdf/2505.19029
Testing cosmological principle under Copernican principle,"Xin Wang,Zhiqi Huang",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph); High Energy Physics - Theory (hep-th),"Recent observational analyses have revealed potential evidence for a preferred spatial direction in cosmological data. Such directional parameterization inherently places observers at a privileged spatial position, thereby conflicting with the Copernican principle and suffering from the look-elsewhere effect. To restore the Copernican principle which is the foundation of modern astronomy, we propose a stochastic framework for cosmological principle violations. The almost uniform temperature of cosmic microwave background suggests that the deviation of isotropy is negligible ($\lesssim 10^{-5}$ level) on the last scattering surface, which can be used as a zero boundary condition to construct an orthogonal basis below the redshift of recombination. The relative deviation from Hubble diagram of isotropic ($\Lambda$CDM or $w_0w_a$CDM) models is expanded with the orthogonal basis with a hierarchy of increasing resolution. Using this new approach, we test cosmological principle with type Ia supernovae, strong lens time delay, and gravitational-wave standard siren. The data sets are consistent with statistical isotropy on large scales.",https://arxiv.org/pdf/2505.19055
Geometric Determinations Of Characteristic Redshifts From DESI-DR2 BAO and DES-SN5YR Observations: Hints For New Expansion Rate Anomalies,"Purba Mukherjee,Anjan A Sen",Cosmology and Nongalactic Astrophysics (astro-ph.CO); Machine Learning (cs.LG); General Relativity and Quantum Cosmology (gr-qc),"In this work, we perform a model-agnostic reconstruction of the cosmic expansion history by combining DESI-DR2 BAO and DES-SN5YR data, with a focus on geometric determination of characteristic redshifts where notable tensions in the expansion rate are found to emerge. Employing Gaussian process regression alongside knot-based spline techniques, we reconstruct cosmic distances and their derivatives to pinpoint these characteristic redshifts and infer $E(z)$. Our analysis reveals significant deviations of approximately 4 to 5$\sigma$ from the Planck 2018 $\Lambda$CDM predictions, particularly pronounced in the redshift range $z \sim 0.35-0.55$. These anomalies are consistently observed across both reconstruction methods and combined datasets, indicating robust late-time departures that could signal new physics beyond the standard cosmological framework. The joint use of BAO and SN probes enhances the precision of our constraints, allowing us to isolate these deviations without reliance on specific cosmological assumptions. Our findings underscore the role of characteristic redshifts as sensitive indicators of expansion rate anomalies and motivate further scrutiny with forthcoming datasets from DESI-5YR BAO, Euclid, and LSST. These future surveys will tighten constraints and help distinguish whether these late-time anomalies arise from new fundamental physics or unresolved systematics in the data.",https://arxiv.org/pdf/2505.19083
Probing dipolar power asymmetry with galaxy clustering and intrinsic alignments,"Keita Minato,Atsushi Taruya,Teppei Okumura,Maresuke Shiraishi",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc),"We investigate the prospects for probing large-scale statistical anisotropy through galaxy clustering and intrinsic alignments (IA) in Stage IV galaxy surveys. Specifically, we consider a dipolar modulation in the primordial power spectrum and evaluate the Fisher information matrix using the two-point statistics of both the galaxy clustering and IA. Our analysis reveals that while IA alone provides limited improvement in constraining the anisotropy amplitude, the cross-spectrum between galaxy density and IA can contribute up to half the constraining power of galaxy clustering, especially for surveys with low galaxy bias and high number density of galaxies, such as Euclid. This demonstrates the potential of IA-clustering cross-correlations as a robust consistency check against systematics, and highlights the complementary roles of galaxy clustering and IA in constraining cosmic statistical anisotropy. We also show that marginalizing over galaxy bias and IA bias parameters has a negligible impact on the final constraint on the anisotropy amplitude.",https://arxiv.org/pdf/2505.19941
