Heading,Title,Authors,Subjects,Abstract,PDF
New submissions,Impact of Buchdahl metric potential on thin-shell gravastar framework in de Rham-Gabadadze-Tolley like massive gravity,"Meghanil Sinha,S. Surendra Singh",General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),"This paper presents a study on gravitational vacuum stars (gravastars) with an isotropic matter distribution in de Rham-Gabadadze-Tolley (dRGT) massive gravity incorporating Buchdahl metric function. Here we have conducted an analysis on thin-shell singularity-free gravastar configuration. The study demonstrates the viability of gravastars as alternatives to black holes (BHs) in this massive gravity. Our research yields singularity free analytical solutions for gravastar interior and without event horizon. Our discussion focuses on the properties of the thin shell of ultra-relativistic stiff fluid viz., length, energy, entropy and the massive gravity's impact on these physical properties. The junction conditions have been carefully examined and study of surface redshift analysis implies regularity of the model. Our investigation also includes energy condition analysis supporting the thin shell formation. Thus our solutions eliminate singularities and information paradoxes and the implications of these solutions are seemingly noteworthy and exhibit physical desirable properties.",
New submissions,Accretion of Dark Energy Candidates Following Redshift Parametrization Type Equation of State : Horava-Lifshitz Gravity,"Promila Biswas,Sukanya Dutta,Ritabrata Biswas,Farook Rahaman",General Relativity and Quantum Cosmology (gr-qc),"In this article, accretion of particular dark energy candidates is studied. These dark energy models possess equation of state dependent on redshift and some free parameters. Central gravitating object for this accretion model is chosen to be the Kehagias Sfetsos black hole sitting in Horava Gravity. Four special redshift parametrization models, viz. Chevallier-Polarski-Linder, Jassal-Bagala-Padmanabhan, Barboza-Alcaniz and Barboza-Alcaniz-Zhu-Silva are picked to study different accretion properties. Formation of critical point and related radial infalling speed, sonic speed, different arbitrary parameters' values etc are obtained. Mass growth curves are plotted. The rate of growth is followed to depend on the dark matter's behavior as well as the free parameters of dark energy models. Future loss in mass is noted for some of the chosen dark energy models.",
New submissions,Planar black holes and black bounces with flat exterior,"Hideki Maeda,Cristian Martinez",General Relativity and Quantum Cosmology (gr-qc),"We present $n(\ge 4)$-dimensional planar black holes and black bounces with a flat exterior, which are originated by an exact solution in general relativity. The interior regions of these black objects are described by the extended dynamical region inside a non-degenerate Killing horizon of Gamboa's static plane symmetric solution with a perfect fluid obeying a linear equation of state $p=\chi\rho$ for $\chi\in[-1/3,0)$. The matter field inside the horizon is not a perfect fluid but an anisotropic fluid that may be interpreted as a spacelike (tachyonic) perfect fluid. While it satisfies the null and strong energy conditions in the black-hole case, it violates all the standard energy conditions in the black-bounce case. The metric on the horizon is not analytic but at least $C^{1,1}$ in the single-null coordinates in both cases, so it is regular and there is no lightlike massive thin shell on the horizon.",
New submissions,The metric from energy-momentum non-conservation: Generalizing Noether and completing spectral geometry,Achim Kempf,General Relativity and Quantum Cosmology (gr-qc); Mathematical Physics (math-ph); Quantum Physics (quant-ph),"We complete the program of spectral geometry, in the sense that we show that a manifold's shape, i.e., its metric, can be reconstructed from its resonant sound when tapped lightly, i.e., from its spectrum, -- if in addition we also record the resonances' mutual excitation pattern when the driving is strong enough to reach the nonlinear regime. Applied to spacetime, this finding yields a generalization of Noether's theorem: the specific pattern of energy-momentum non-conservation on a generic curved spacetime, encoded within the quantum field theoretic scattering matrices, is sufficient to calculate the metric. Applied to quantum gravity, this shows that the conventional dichotomy of spacetime versus matter can emerge from an underlying information-theoretic framework of only one type of quantity: abstract correlators, $G^{(n)}$, that are, a priori, merely operators on $n$ tensor factors of a Hilbert space. This is because, on one hand, if abstract higher-order correlators $G^{(n>2)}$ can be diagonalized, these correlators can be represented as local quantum field theoretic vertices on a curved spacetime whose metric $g_{\mu\nu}(x)$ can be explicitly calculated. On the other hand, at sufficiently high energies, such as the Planck scale, the $G^{(n)}$ may not be even approximately representable as correlators of a local QFT on a spacetime, indicating a regime that is mathematically controlled but transcends the concepts of spacetime and matter.",
New submissions,Gravitational Scattering of Two Neutron Stars,"Joan Fontbuté,Sebastiano Bernuzzi,Piero Rettegno,Simone Albanesi,Wolfgang Tichy",General Relativity and Quantum Cosmology (gr-qc); High Energy Astrophysical Phenomena (astro-ph.HE),"We present the first numerical relativity simulations of the gravitational scattering of two neutron stars. Constraint-satisfying initial data for two equal-mass non-spinning sequences are constructed at fixed energy and various initial angular momenta (impact parameter) and evolved with Einstein equations through the scattering process. The strong-field scattering dynamics are explored up to scattering angles of $225^\circ$ and the threshold of dynamical captures. The transition to bound orbits is aided by significant mass ejecta up to baryon mass ${\sim}1M_\odot$. A quantitative comparison with predictions of the scattering angle from state-of-the-art effective-one-body and post-Minkowskian calculations indicates quantitative agreement for large initial angular momenta although significant discrepancies in the tidal contribution emerge towards the capture threshold. Gravitational waveforms and radiated energy are in qualitative agreement with the analogous black hole problem and state-of-the-art effective-one-body predictions. Towards the capture threshold waveforms from scattering dynamics carry a strong imprint of matter effects, including the stars' $f$-mode excitations during the close encounter. Overall, our simulations open a new avenue to study tidal interactions in the relativistic two-body problem.",
New submissions,"GUP, Lorentz Invariance (Non)-Violation, and Non-Commutative Geometry","Michael Bishop,Daniel Hooker,Peter Martin,Douglas Singleton",General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),"In this work, we formulate a generalized uncertainty principle with both position and momentum operators modified from their canonical forms. We study whether Lorentz symmetry is violated and whether it can be saved with these modifications. The requirement that Lorentz invariance is not violated places restrictions on the way the position and momentum operators can be modified. We also investigate the connection between general uncertainty principle and non-commutative geometry models, e.g.,laying out the connection between area/area operators and angular momentum in both models.",
New submissions,Stealth black hole solutions in higher-order Maxwell-Einstein theories,Masato Minamitsuji,General Relativity and Quantum Cosmology (gr-qc),"We study static and spherically symmetric black hole solutions in higher-order Maxwell-Einstein theories. We do not particularly focus on the degenerate classes of theories. For several specific choices of the coupling functions, we show that in the presence of the ordinary Maxwell kinetic term the Reissner-Nordström-(anti-)de Sitter solution in the pure Maxwell-Einstein theory can also be a solution in generic classes of higher-order Maxwell-Einstein theories, and in the absence of the ordinary Maxwell kinetic term the Schwarzschild-(anti-)de Sitter solution with the nonzero electric field can be obtained. This corresponds to a stealth black hole solution as the electric field does not affect the spacetime geometry. We then focus on several degenerate classes of higher-order Maxwell-Einstein theories, and find that the dyonic Reissner-Nordström-(anti-)de Sitter solution in the pure Maxwell-Einstein theory can be a solution.",
New submissions,Manifestation of quantum entanglement between harmonic oscillators in de Sitter,"Sumanta Chakraborty,Anupam Mazumdar,Ritapriya Pradhan",General Relativity and Quantum Cosmology (gr-qc); Quantum Physics (quant-ph),"Two harmonic oscillators interacting through the exchange of a quantum field leads to non-zero entanglement between the two, which is absent for classical interaction. In this work, we determine the entanglement between two such harmonic oscillators living in an expanding universe. It turns out that, if the oscillators are within the Hubble horizon, with their frequencies are comparable to the rate of expansion of the universe, the entanglement is non-zero and significant. While, for oscillators outside the Hubble horizon, with oscillation frequencies much higher than the expansion rate, the entanglement is negligibly small.",
New submissions,Radii of spherical timelike geodesics in Kerr-Newman black holes,"Wei Huang,Jun-Xu Chen,Jia-Hui Huang",General Relativity and Quantum Cosmology (gr-qc),"The existence, radii and radial stability of the equatorial and non-equatorial (particularly, the polar) spherical orbits are discussed for particles with different conserved energy. The radii of these orbits generally are solutions of a quintic polynomial equation with four dimensionless parameters. For the case with $\gamma=1$, we obtain the analytical expressions for the radii of the polar, equatorial and general orbits. The radial stability of the orbits outside the event horizon is also discussed. In the $(u, w, \beta)$ space, a no-orbit surface is found. When the parameters lies on this surface there is no orbit outside the event horizon, otherwise there is always one spherical orbit outside the event horizon. For the cases with $\gamma\neq1$, we focus on the study of polar and equatorial orbits. For polar orbits with $0<\gamma<1$, a boundary surface in $(u, w, \gamma)$ space is identified which determines the existence of spherical polar orbits outside the event horizon. Numerical results of the radii and radial stability of the polar orbits are shown for examples with specific values of $\gamma$. For polar orbits with $\gamma>1$, it is found that there is always one unstable orbit outside the event horizon. For equatorial orbits with $0<\gamma<1$, in each rotating case (prograde case and retrograde case), a boundary surface in $(u, w, \gamma)$ space is also identified which divides the parameter space into two regions: one region with two orbits (one stable and the other unstable) and the other with no orbit outside the event horizon. Parameters on the boundary surface correspond to ISCOs. An analytical formula for the ISCOs is derived by choosing $(w,\gamma)$ as independent variables. For equatorial orbits with $\gamma>1$, it is found that there is always one unstable orbit outside the event horizon.",
New submissions,Non-Equatorial Deflection of Light due to Kerr-Newman Black Hole: A Material Medium Approach,"Saswati Roy,Shubham Kala,Prasanjit Ghosh,Hemwati Nandan,Asoke K. Sen",General Relativity and Quantum Cosmology (gr-qc),"We explored the effect of space-time geometry on the trajectory of light rays in the context of a charged, rotating black hole. We derived an analytical expression for the deflection of light rays in Kerr-Newman space-time geometry, using a material medium approach, on non-equatorial plane. From this deflection angle expression it is evident that the charge and rotation of the black hole can affect the light rays' paths. Additionally, we calculated the refractive index of light rays by treating space-time as a medium. We demonstrated how the rotation parameter and charge influence the refractive index and hence the deflection angle of light rays. For Kerr-Newman geometry, the deflection angle decreases with increasing charge when the rotation parameter is held constant. Conversely, for a constant charge, the deflection angle increases with the rotation parameter for prograde and decreases for retrograde trajectories. Applying both factors results in the deflection angle being lower than that of the Schwarzschild geometry. Non-equatorial study of the deflection angle reveals that it is maximum in the equatorial plane than in the pole. The frame-dragging effects in the Kerr-Newman field were taken into account to calculate the velocity of light rays, leading to the determination of the refractive index in this field geometry. This study concludes that depending on the values of the rotation parameter and charge parameter both prograde and retrograde trajectories coincide, resulting in the conclusion that at some point the frame dragging effect is the same for prograde and retrograde motion. Also, the frame dragging increases towards poles for retrograde trajectories while decreasing for prograde trajectories, and these nontrivial nature results because of the interplay between charge and rotation.",
